emoji,int,hex
📶,128246,0x1f4f6
📷,128247,0x1f4f7
📸,128248,0x1f4f8
📹,128249,0x1f4f9
📺,128250,0x1f4fa
📻,128251,0x1f4fb
📼,128252,0x1f4fc
📽,128253,0x1f4fd
📾,128254,0x1f4fe
📿,128255,0x1f4ff
🔀,128256,0x1f500
🔁,128257,0x1f501
🔂,128258,0x1f502
🔃,128259,0x1f503
🔄,128260,0x1f504
🔅,128261,0x1f505
🔆,128262,0x1f506
🔇,128263,0x1f507
🔈,128264,0x1f508
🔉,128265,0x1f509
🔊,128266,0x1f50a
🔋,128267,0x1f50b
🔌,128268,0x1f50c
🔍,128269,0x1f50d
🔎,128270,0x1f50e
🔏,128271,0x1f50f
🔐,128272,0x1f510
🔑,128273,0x1f511
🔒,128274,0x1f512
🔓,128275,0x1f513
🔔,128276,0x1f514
🔕,128277,0x1f515
🔖,128278,0x1f516
🔗,128279,0x1f517
🔘,128280,0x1f518
🔙,128281,0x1f519
🔚,128282,0x1f51a
🔛,128283,0x1f51b
🔜,128284,0x1f51c
🔝,128285,0x1f51d
🔞,128286,0x1f51e
🔟,128287,0x1f51f
🔠,128288,0x1f520
🔡,128289,0x1f521
🔢,128290,0x1f522
🔣,128291,0x1f523
🔤,128292,0x1f524
🔥,128293,0x1f525
🔦,128294,0x1f526
🔧,128295,0x1f527
🔨,128296,0x1f528
🔩,128297,0x1f529
🔪,128298,0x1f52a
🔫,128299,0x1f52b
🔬,128300,0x1f52c
🔭,128301,0x1f52d
🔮,128302,0x1f52e
🔯,128303,0x1f52f
🔰,128304,0x1f530
🔱,128305,0x1f531
🔲,128306,0x1f532
🔳,128307,0x1f533
🔴,128308,0x1f534
🔵,128309,0x1f535
🔶,128310,0x1f536
🔷,128311,0x1f537
🔸,128312,0x1f538
🔹,128313,0x1f539
🔺,128314,0x1f53a
🔻,128315,0x1f53b
🔼,128316,0x1f53c
🔽,128317,0x1f53d
🔾,128318,0x1f53e
🔿,128319,0x1f53f
🕀,128320,0x1f540
🕁,128321,0x1f541
🕂,128322,0x1f542
🕃,128323,0x1f543
🕄,128324,0x1f544
🕅,128325,0x1f545
🕆,128326,0x1f546
🕇,128327,0x1f547
🕈,128328,0x1f548
🕉,128329,0x1f549
🕊,128330,0x1f54a
🕋,128331,0x1f54b
🕌,128332,0x1f54c
🕍,128333,0x1f54d
🕎,128334,0x1f54e
🕏,128335,0x1f54f
🕐,128336,0x1f550
🕑,128337,0x1f551
🕒,128338,0x1f552
🕓,128339,0x1f553
🕔,128340,0x1f554
🕕,128341,0x1f555
🕖,128342,0x1f556
🕗,128343,0x1f557
🕘,128344,0x1f558
🕙,128345,0x1f559
🕚,128346,0x1f55a
🕛,128347,0x1f55b
🕜,128348,0x1f55c
🕝,128349,0x1f55d
🕞,128350,0x1f55e
🕟,128351,0x1f55f
🕠,128352,0x1f560
🕡,128353,0x1f561
🕢,128354,0x1f562
🕣,128355,0x1f563
🕤,128356,0x1f564
🕥,128357,0x1f565
🕦,128358,0x1f566
🕧,128359,0x1f567
🕨,128360,0x1f568
🕩,128361,0x1f569
🕪,128362,0x1f56a
🕫,128363,0x1f56b
🕬,128364,0x1f56c
🕭,128365,0x1f56d
🕮,128366,0x1f56e
🕯,128367,0x1f56f
🕰,128368,0x1f570
🕱,128369,0x1f571
🕲,128370,0x1f572
🕳,128371,0x1f573
🕴,128372,0x1f574
🕵,128373,0x1f575
🕶,128374,0x1f576
🕷,128375,0x1f577
🕸,128376,0x1f578
🕹,128377,0x1f579
🕺,128378,0x1f57a
🕻,128379,0x1f57b
🕼,128380,0x1f57c
🕽,128381,0x1f57d
🕾,128382,0x1f57e
🕿,128383,0x1f57f
🖀,128384,0x1f580
🖁,128385,0x1f581
🖂,128386,0x1f582
🖃,128387,0x1f583
🖄,128388,0x1f584
🖅,128389,0x1f585
🖆,128390,0x1f586
🖇,128391,0x1f587
🖈,128392,0x1f588
🖉,128393,0x1f589
🖊,128394,0x1f58a
🖋,128395,0x1f58b
🖌,128396,0x1f58c
🖍,128397,0x1f58d
🖎,128398,0x1f58e
🖏,128399,0x1f58f
🖐,128400,0x1f590
🖑,128401,0x1f591
🖒,128402,0x1f592
🖓,128403,0x1f593
🖔,128404,0x1f594
🖕,128405,0x1f595
🖖,128406,0x1f596
🖗,128407,0x1f597
🖘,128408,0x1f598
🖙,128409,0x1f599
🖚,128410,0x1f59a
🖛,128411,0x1f59b
🖜,128412,0x1f59c
🖝,128413,0x1f59d
🖞,128414,0x1f59e
🖟,128415,0x1f59f
🖠,128416,0x1f5a0
🖡,128417,0x1f5a1
🖢,128418,0x1f5a2
🖣,128419,0x1f5a3
🖤,128420,0x1f5a4
🖥,128421,0x1f5a5
🖦,128422,0x1f5a6
🖧,128423,0x1f5a7
🖨,128424,0x1f5a8
🖩,128425,0x1f5a9
🖪,128426,0x1f5aa
🖫,128427,0x1f5ab
🖬,128428,0x1f5ac
🖭,128429,0x1f5ad
🖮,128430,0x1f5ae
🖯,128431,0x1f5af
🖰,128432,0x1f5b0
🖱,128433,0x1f5b1
🖲,128434,0x1f5b2
🖳,128435,0x1f5b3
🖴,128436,0x1f5b4
🖵,128437,0x1f5b5
🖶,128438,0x1f5b6
🖷,128439,0x1f5b7
🖸,128440,0x1f5b8
🖹,128441,0x1f5b9
🖺,128442,0x1f5ba
🖻,128443,0x1f5bb
🖼,128444,0x1f5bc
🖽,128445,0x1f5bd
🖾,128446,0x1f5be
🖿,128447,0x1f5bf
🗀,128448,0x1f5c0
🗁,128449,0x1f5c1
🗂,128450,0x1f5c2
🗃,128451,0x1f5c3
🗄,128452,0x1f5c4
🗅,128453,0x1f5c5
🗆,128454,0x1f5c6
🗇,128455,0x1f5c7
🗈,128456,0x1f5c8
🗉,128457,0x1f5c9
🗊,128458,0x1f5ca
🗋,128459,0x1f5cb
🗌,128460,0x1f5cc
🗍,128461,0x1f5cd
🗎,128462,0x1f5ce
🗏,128463,0x1f5cf
🗐,128464,0x1f5d0
🗑,128465,0x1f5d1
🗒,128466,0x1f5d2
🗓,128467,0x1f5d3
🗔,128468,0x1f5d4
🗕,128469,0x1f5d5
🗖,128470,0x1f5d6
🗗,128471,0x1f5d7
🗘,128472,0x1f5d8
🗙,128473,0x1f5d9
🗚,128474,0x1f5da
🗛,128475,0x1f5db
🗜,128476,0x1f5dc
🗝,128477,0x1f5dd
🗞,128478,0x1f5de
🗟,128479,0x1f5df
🗠,128480,0x1f5e0
🗡,128481,0x1f5e1
🗢,128482,0x1f5e2
🗣,128483,0x1f5e3
🗤,128484,0x1f5e4
🗥,128485,0x1f5e5
🗦,128486,0x1f5e6
🗧,128487,0x1f5e7
🗨,128488,0x1f5e8
🗩,128489,0x1f5e9
🗪,128490,0x1f5ea
🗫,128491,0x1f5eb
🗬,128492,0x1f5ec
🗭,128493,0x1f5ed
🗮,128494,0x1f5ee
🗯,128495,0x1f5ef
🗰,128496,0x1f5f0
🗱,128497,0x1f5f1
🗲,128498,0x1f5f2
🗳,128499,0x1f5f3
🗴,128500,0x1f5f4
🗵,128501,0x1f5f5
🗶,128502,0x1f5f6
🗷,128503,0x1f5f7
🗸,128504,0x1f5f8
🗹,128505,0x1f5f9
🗺,128506,0x1f5fa
🗻,128507,0x1f5fb
🗼,128508,0x1f5fc
🗽,128509,0x1f5fd
🗾,128510,0x1f5fe
🗿,128511,0x1f5ff
😀,128512,0x1f600
😁,128513,0x1f601
😂,128514,0x1f602
😃,128515,0x1f603
😄,128516,0x1f604
😅,128517,0x1f605
😆,128518,0x1f606
😇,128519,0x1f607
😈,128520,0x1f608
😉,128521,0x1f609
😊,128522,0x1f60a
😋,128523,0x1f60b
😌,128524,0x1f60c
😍,128525,0x1f60d
😎,128526,0x1f60e
😏,128527,0x1f60f
😐,128528,0x1f610
😑,128529,0x1f611
😒,128530,0x1f612
😓,128531,0x1f613
😔,128532,0x1f614
😕,128533,0x1f615
😖,128534,0x1f616
😗,128535,0x1f617
😘,128536,0x1f618
😙,128537,0x1f619
😚,128538,0x1f61a
😛,128539,0x1f61b
😜,128540,0x1f61c
😝,128541,0x1f61d
😞,128542,0x1f61e
😟,128543,0x1f61f
😠,128544,0x1f620
😡,128545,0x1f621
😢,128546,0x1f622
😣,128547,0x1f623
😤,128548,0x1f624
😥,128549,0x1f625
😦,128550,0x1f626
😧,128551,0x1f627
😨,128552,0x1f628
😩,128553,0x1f629
😪,128554,0x1f62a
😫,128555,0x1f62b
😬,128556,0x1f62c
😭,128557,0x1f62d
😮,128558,0x1f62e
😯,128559,0x1f62f
😰,128560,0x1f630
😱,128561,0x1f631
😲,128562,0x1f632
😳,128563,0x1f633
😴,128564,0x1f634
😵,128565,0x1f635
😶,128566,0x1f636
😷,128567,0x1f637
😸,128568,0x1f638
😹,128569,0x1f639
😺,128570,0x1f63a
😻,128571,0x1f63b
😼,128572,0x1f63c
😽,128573,0x1f63d
😾,128574,0x1f63e
😿,128575,0x1f63f
🙀,128576,0x1f640
🙁,128577,0x1f641
🙂,128578,0x1f642
🙃,128579,0x1f643
🙄,128580,0x1f644
🙅,128581,0x1f645
🙆,128582,0x1f646
🙇,128583,0x1f647
🙈,128584,0x1f648
🙉,128585,0x1f649
🙊,128586,0x1f64a
🙋,128587,0x1f64b
🙌,128588,0x1f64c
🙍,128589,0x1f64d
🙎,128590,0x1f64e
🙏,128591,0x1f64f
🙐,128592,0x1f650
🙑,128593,0x1f651
🙒,128594,0x1f652
🙓,128595,0x1f653
🙔,128596,0x1f654
🙕,128597,0x1f655
🙖,128598,0x1f656
🙗,128599,0x1f657
🙘,128600,0x1f658
🙙,128601,0x1f659
🙚,128602,0x1f65a
🙛,128603,0x1f65b
🙜,128604,0x1f65c
🙝,128605,0x1f65d
🙞,128606,0x1f65e
🙟,128607,0x1f65f
🙠,128608,0x1f660
🙡,128609,0x1f661
🙢,128610,0x1f662
🙣,128611,0x1f663
🙤,128612,0x1f664
🙥,128613,0x1f665
🙦,128614,0x1f666
🙧,128615,0x1f667
🙨,128616,0x1f668
🙩,128617,0x1f669
🙪,128618,0x1f66a
🙫,128619,0x1f66b
🙬,128620,0x1f66c
🙭,128621,0x1f66d
🙮,128622,0x1f66e
🙯,128623,0x1f66f
🙰,128624,0x1f670
🙱,128625,0x1f671
🙲,128626,0x1f672
🙳,128627,0x1f673
🙴,128628,0x1f674
🙵,128629,0x1f675
🙶,128630,0x1f676
🙷,128631,0x1f677
🙸,128632,0x1f678
🙹,128633,0x1f679
🙺,128634,0x1f67a
🙻,128635,0x1f67b
🙼,128636,0x1f67c
🙽,128637,0x1f67d
🙾,128638,0x1f67e
🙿,128639,0x1f67f
🚀,128640,0x1f680
🚁,128641,0x1f681
🚂,128642,0x1f682
🚃,128643,0x1f683
🚄,128644,0x1f684
🚅,128645,0x1f685
🚆,128646,0x1f686
🚇,128647,0x1f687
🚈,128648,0x1f688
🚉,128649,0x1f689
🚊,128650,0x1f68a
🚋,128651,0x1f68b
🚌,128652,0x1f68c
🚍,128653,0x1f68d
🚎,128654,0x1f68e
🚏,128655,0x1f68f
🚐,128656,0x1f690
🚑,128657,0x1f691
🚒,128658,0x1f692
🚓,128659,0x1f693
🚔,128660,0x1f694
🚕,128661,0x1f695
🚖,128662,0x1f696
🚗,128663,0x1f697
🚘,128664,0x1f698
🚙,128665,0x1f699
🚚,128666,0x1f69a
🚛,128667,0x1f69b
🚜,128668,0x1f69c
🚝,128669,0x1f69d
🚞,128670,0x1f69e
🚟,128671,0x1f69f
🚠,128672,0x1f6a0
🚡,128673,0x1f6a1
🚢,128674,0x1f6a2
🚣,128675,0x1f6a3
🚤,128676,0x1f6a4
🚥,128677,0x1f6a5
🚦,128678,0x1f6a6
🚧,128679,0x1f6a7
🚨,128680,0x1f6a8
🚩,128681,0x1f6a9
🚪,128682,0x1f6aa
🚫,128683,0x1f6ab
🚬,128684,0x1f6ac
🚭,128685,0x1f6ad
🚮,128686,0x1f6ae
🚯,128687,0x1f6af
🚰,128688,0x1f6b0
🚱,128689,0x1f6b1
🚲,128690,0x1f6b2
🚳,128691,0x1f6b3
🚴,128692,0x1f6b4
🚵,128693,0x1f6b5
🚶,128694,0x1f6b6
🚷,128695,0x1f6b7
🚸,128696,0x1f6b8
🚹,128697,0x1f6b9
🚺,128698,0x1f6ba
🚻,128699,0x1f6bb
🚼,128700,0x1f6bc
🚽,128701,0x1f6bd
🚾,128702,0x1f6be
🚿,128703,0x1f6bf
🛀,128704,0x1f6c0
🛁,128705,0x1f6c1
🛂,128706,0x1f6c2
🛃,128707,0x1f6c3
🛄,128708,0x1f6c4
🛅,128709,0x1f6c5
🛆,128710,0x1f6c6
🛇,128711,0x1f6c7
🛈,128712,0x1f6c8
🛉,128713,0x1f6c9
🛊,128714,0x1f6ca
🛋,128715,0x1f6cb
🛌,128716,0x1f6cc
🛍,128717,0x1f6cd
🛎,128718,0x1f6ce
🛏,128719,0x1f6cf
🛐,128720,0x1f6d0
🛑,128721,0x1f6d1
🛒,128722,0x1f6d2

🛠,128736,0x1f6e0
🛡,128737,0x1f6e1
🛢,128738,0x1f6e2
🛣,128739,0x1f6e3
🛤,128740,0x1f6e4
🛥,128741,0x1f6e5
🛦,128742,0x1f6e6
🛧,128743,0x1f6e7
🛨,128744,0x1f6e8
🛩,128745,0x1f6e9
🛪,128746,0x1f6ea
🛫,128747,0x1f6eb
🛬,128748,0x1f6ec
🛭,128749,0x1f6ed
🛮,128750,0x1f6ee
🛯,128751,0x1f6ef
🛰,128752,0x1f6f0
🛱,128753,0x1f6f1
🛲,128754,0x1f6f2
🛳,128755,0x1f6f3
🛴,128756,0x1f6f4
🛵,128757,0x1f6f5
🛶,128758,0x1f6f6
🛷,128759,0x1f6f7
🛸,128760,0x1f6f8

🜀,128768,0x1f700
🜁,128769,0x1f701
🜂,128770,0x1f702
🜃,128771,0x1f703
🜄,128772,0x1f704
🜅,128773,0x1f705
🜆,128774,0x1f706
🜇,128775,0x1f707
🜈,128776,0x1f708
🜉,128777,0x1f709
🜊,128778,0x1f70a
🜋,128779,0x1f70b
🜌,128780,0x1f70c
🜍,128781,0x1f70d
🜎,128782,0x1f70e
🜏,128783,0x1f70f
🜐,128784,0x1f710
🜑,128785,0x1f711
🜒,128786,0x1f712
🜓,128787,0x1f713
🜔,128788,0x1f714
🜕,128789,0x1f715
🜖,128790,0x1f716
🜗,128791,0x1f717
🜘,128792,0x1f718
🜙,128793,0x1f719
🜚,128794,0x1f71a
🜛,128795,0x1f71b
🜜,128796,0x1f71c
🜝,128797,0x1f71d
🜞,128798,0x1f71e
🜟,128799,0x1f71f
🜠,128800,0x1f720
🜡,128801,0x1f721
🜢,128802,0x1f722
🜣,128803,0x1f723
🜤,128804,0x1f724
🜥,128805,0x1f725
🜦,128806,0x1f726
🜧,128807,0x1f727
🜨,128808,0x1f728
🜩,128809,0x1f729
🜪,128810,0x1f72a
🜫,128811,0x1f72b
🜬,128812,0x1f72c
🜭,128813,0x1f72d
🜮,128814,0x1f72e
🜯,128815,0x1f72f
🜰,128816,0x1f730
🜱,128817,0x1f731
🜲,128818,0x1f732
🜳,128819,0x1f733
🜴,128820,0x1f734
🜵,128821,0x1f735
🜶,128822,0x1f736
🜷,128823,0x1f737
🜸,128824,0x1f738
🜹,128825,0x1f739
🜺,128826,0x1f73a
🜻,128827,0x1f73b
🜼,128828,0x1f73c
🜽,128829,0x1f73d
🜾,128830,0x1f73e
🜿,128831,0x1f73f
🝀,128832,0x1f740
🝁,128833,0x1f741
🝂,128834,0x1f742
🝃,128835,0x1f743
🝄,128836,0x1f744
🝅,128837,0x1f745
🝆,128838,0x1f746
🝇,128839,0x1f747
🝈,128840,0x1f748
🝉,128841,0x1f749
🝊,128842,0x1f74a
🝋,128843,0x1f74b
🝌,128844,0x1f74c
🝍,128845,0x1f74d
🝎,128846,0x1f74e
🝏,128847,0x1f74f
🝐,128848,0x1f750
🝑,128849,0x1f751
🝒,128850,0x1f752
🝓,128851,0x1f753
🝔,128852,0x1f754
🝕,128853,0x1f755
🝖,128854,0x1f756
🝗,128855,0x1f757
🝘,128856,0x1f758
🝙,128857,0x1f759
🝚,128858,0x1f75a
🝛,128859,0x1f75b
🝜,128860,0x1f75c
🝝,128861,0x1f75d
🝞,128862,0x1f75e
🝟,128863,0x1f75f
🝠,128864,0x1f760
🝡,128865,0x1f761
🝢,128866,0x1f762
🝣,128867,0x1f763
🝤,128868,0x1f764
🝥,128869,0x1f765
🝦,128870,0x1f766
🝧,128871,0x1f767
🝨,128872,0x1f768
🝩,128873,0x1f769
🝪,128874,0x1f76a
🝫,128875,0x1f76b
🝬,128876,0x1f76c
🝭,128877,0x1f76d
🝮,128878,0x1f76e
🝯,128879,0x1f76f
🝰,128880,0x1f770
🝱,128881,0x1f771
🝲,128882,0x1f772
🝳,128883,0x1f773

🞀,128896,0x1f780
🞁,128897,0x1f781
🞂,128898,0x1f782
🞃,128899,0x1f783
🞄,128900,0x1f784
🞅,128901,0x1f785
🞆,128902,0x1f786
🞇,128903,0x1f787
🞈,128904,0x1f788
🞉,128905,0x1f789
🞊,128906,0x1f78a
🞋,128907,0x1f78b
🞌,128908,0x1f78c
🞍,128909,0x1f78d
🞎,128910,0x1f78e
🞏,128911,0x1f78f
🞐,128912,0x1f790
🞑,128913,0x1f791
🞒,128914,0x1f792
🞓,128915,0x1f793
🞔,128916,0x1f794
🞕,128917,0x1f795
🞖,128918,0x1f796
🞗,128919,0x1f797
🞘,128920,0x1f798
🞙,128921,0x1f799
🞚,128922,0x1f79a
🞛,128923,0x1f79b
🞜,128924,0x1f79c
🞝,128925,0x1f79d
🞞,128926,0x1f79e
🞟,128927,0x1f79f
🞠,128928,0x1f7a0
🞡,128929,0x1f7a1
🞢,128930,0x1f7a2
🞣,128931,0x1f7a3
🞤,128932,0x1f7a4
🞥,128933,0x1f7a5
🞦,128934,0x1f7a6
🞧,128935,0x1f7a7
🞨,128936,0x1f7a8
🞩,128937,0x1f7a9
🞪,128938,0x1f7aa
🞫,128939,0x1f7ab
🞬,128940,0x1f7ac
🞭,128941,0x1f7ad
🞮,128942,0x1f7ae
🞯,128943,0x1f7af
🞰,128944,0x1f7b0
🞱,128945,0x1f7b1
🞲,128946,0x1f7b2
🞳,128947,0x1f7b3
🞴,128948,0x1f7b4
🞵,128949,0x1f7b5
🞶,128950,0x1f7b6
🞷,128951,0x1f7b7
🞸,128952,0x1f7b8
🞹,128953,0x1f7b9
🞺,128954,0x1f7ba
🞻,128955,0x1f7bb
🞼,128956,0x1f7bc
🞽,128957,0x1f7bd
🞾,128958,0x1f7be
🞿,128959,0x1f7bf
🟀,128960,0x1f7c0
🟁,128961,0x1f7c1
🟂,128962,0x1f7c2
🟃,128963,0x1f7c3
🟄,128964,0x1f7c4
🟅,128965,0x1f7c5
🟆,128966,0x1f7c6
🟇,128967,0x1f7c7
🟈,128968,0x1f7c8
🟉,128969,0x1f7c9
🟊,128970,0x1f7ca
🟋,128971,0x1f7cb
🟌,128972,0x1f7cc
🟍,128973,0x1f7cd
🟎,128974,0x1f7ce
🟏,128975,0x1f7cf
🟐,128976,0x1f7d0
🟑,128977,0x1f7d1
🟒,128978,0x1f7d2
🟓,128979,0x1f7d3
🟔,128980,0x1f7d4

🠀,129024,0x1f800
🠁,129025,0x1f801
🠂,129026,0x1f802
🠃,129027,0x1f803
🠄,129028,0x1f804
🠅,129029,0x1f805
🠆,129030,0x1f806
🠇,129031,0x1f807
🠈,129032,0x1f808
🠉,129033,0x1f809
🠊,129034,0x1f80a
🠋,129035,0x1f80b
🠌,129036,0x1f80c
🠍,129037,0x1f80d
🠎,129038,0x1f80e
🠏,129039,0x1f80f
🠐,129040,0x1f810
🠑,129041,0x1f811
🠒,129042,0x1f812
🠓,129043,0x1f813
🠔,129044,0x1f814
🠕,129045,0x1f815
🠖,129046,0x1f816
🠗,129047,0x1f817
🠘,129048,0x1f818
🠙,129049,0x1f819
🠚,129050,0x1f81a
🠛,129051,0x1f81b
🠜,129052,0x1f81c
🠝,129053,0x1f81d
🠞,129054,0x1f81e
🠟,129055,0x1f81f
🠠,129056,0x1f820
🠡,129057,0x1f821
🠢,129058,0x1f822
🠣,129059,0x1f823
🠤,129060,0x1f824
🠥,129061,0x1f825
🠦,129062,0x1f826
🠧,129063,0x1f827
🠨,129064,0x1f828
🠩,129065,0x1f829
🠪,129066,0x1f82a
🠫,129067,0x1f82b
🠬,129068,0x1f82c
🠭,129069,0x1f82d
🠮,129070,0x1f82e
🠯,129071,0x1f82f
🠰,129072,0x1f830
🠱,129073,0x1f831
🠲,129074,0x1f832
🠳,129075,0x1f833
🠴,129076,0x1f834
🠵,129077,0x1f835
🠶,129078,0x1f836
🠷,129079,0x1f837
🠸,129080,0x1f838
🠹,129081,0x1f839
🠺,129082,0x1f83a
🠻,129083,0x1f83b
🠼,129084,0x1f83c
🠽,129085,0x1f83d
🠾,129086,0x1f83e
🠿,129087,0x1f83f
🡀,129088,0x1f840
🡁,129089,0x1f841
🡂,129090,0x1f842
🡃,129091,0x1f843
🡄,129092,0x1f844
🡅,129093,0x1f845
🡆,129094,0x1f846
🡇,129095,0x1f847

🡐,129104,0x1f850
🡑,129105,0x1f851
🡒,129106,0x1f852
🡓,129107,0x1f853
🡔,129108,0x1f854
🡕,129109,0x1f855
🡖,129110,0x1f856
🡗,129111,0x1f857
🡘,129112,0x1f858
🡙,129113,0x1f859

🡠,129120,0x1f860
🡡,129121,0x1f861
🡢,129122,0x1f862
🡣,129123,0x1f863
🡤,129124,0x1f864
🡥,129125,0x1f865
🡦,129126,0x1f866
🡧,129127,0x1f867
🡨,129128,0x1f868
🡩,129129,0x1f869
🡪,129130,0x1f86a
🡫,129131,0x1f86b
🡬,129132,0x1f86c
🡭,129133,0x1f86d
🡮,129134,0x1f86e
🡯,129135,0x1f86f
🡰,129136,0x1f870
🡱,129137,0x1f871
🡲,129138,0x1f872
🡳,129139,0x1f873
🡴,129140,0x1f874
🡵,129141,0x1f875
🡶,129142,0x1f876
🡷,129143,0x1f877
🡸,129144,0x1f878
🡹,129145,0x1f879
🡺,129146,0x1f87a
🡻,129147,0x1f87b
🡼,129148,0x1f87c
🡽,129149,0x1f87d
🡾,129150,0x1f87e
🡿,129151,0x1f87f
🢀,129152,0x1f880
🢁,129153,0x1f881
🢂,129154,0x1f882
🢃,129155,0x1f883
🢄,129156,0x1f884
🢅,129157,0x1f885
🢆,129158,0x1f886
🢇,129159,0x1f887

🢐,129168,0x1f890
🢑,129169,0x1f891
🢒,129170,0x1f892
🢓,129171,0x1f893
🢔,129172,0x1f894
🢕,129173,0x1f895
🢖,129174,0x1f896
🢗,129175,0x1f897
🢘,129176,0x1f898
🢙,129177,0x1f899
🢚,129178,0x1f89a
🢛,129179,0x1f89b
🢜,129180,0x1f89c
🢝,129181,0x1f89d
🢞,129182,0x1f89e
🢟,129183,0x1f89f
🢠,129184,0x1f8a0
🢡,129185,0x1f8a1
🢢,129186,0x1f8a2
🢣,129187,0x1f8a3
🢤,129188,0x1f8a4
🢥,129189,0x1f8a5
🢦,129190,0x1f8a6
🢧,129191,0x1f8a7
🢨,129192,0x1f8a8
🢩,129193,0x1f8a9
🢪,129194,0x1f8aa
🢫,129195,0x1f8ab
🢬,129196,0x1f8ac
🢭,129197,0x1f8ad

🤐,129296,0x1f910
🤑,129297,0x1f911
🤒,129298,0x1f912
🤓,129299,0x1f913
🤔,129300,0x1f914
🤕,129301,0x1f915
🤖,129302,0x1f916
🤗,129303,0x1f917
🤘,129304,0x1f918
🤙,129305,0x1f919
🤚,129306,0x1f91a
🤛,129307,0x1f91b
🤜,129308,0x1f91c
🤝,129309,0x1f91d
🤞,129310,0x1f91e
🤟,129311,0x1f91f
🤠,129312,0x1f920
🤡,129313,0x1f921
🤢,129314,0x1f922
🤣,129315,0x1f923
🤤,129316,0x1f924
🤥,129317,0x1f925
🤦,129318,0x1f926
🤧,129319,0x1f927
🤨,129320,0x1f928
🤩,129321,0x1f929
🤪,129322,0x1f92a
🤫,129323,0x1f92b
🤬,129324,0x1f92c
🤭,129325,0x1f92d
🤮,129326,0x1f92e
🤯,129327,0x1f92f
🤰,129328,0x1f930
🤱,129329,0x1f931
🤲,129330,0x1f932
🤳,129331,0x1f933
🤴,129332,0x1f934
🤵,129333,0x1f935
🤶,129334,0x1f936
🤷,129335,0x1f937
🤸,129336,0x1f938
🤹,129337,0x1f939
🤺,129338,0x1f93a
🤻,129339,0x1f93b
🤼,129340,0x1f93c
🤽,129341,0x1f93d
🤾,129342,0x1f93e

🥀,129344,0x1f940
🥁,129345,0x1f941
🥂,129346,0x1f942
🥃,129347,0x1f943
🥄,129348,0x1f944
🥅,129349,0x1f945

🥇,129351,0x1f947
🥈,129352,0x1f948
🥉,129353,0x1f949
🥊,129354,0x1f94a
🥋,129355,0x1f94b
🥌,129356,0x1f94c

🥐,129360,0x1f950
🥑,129361,0x1f951
🥒,129362,0x1f952
🥓,129363,0x1f953
🥔,129364,0x1f954
🥕,129365,0x1f955
🥖,129366,0x1f956
🥗,129367,0x1f957
🥘,129368,0x1f958
🥙,129369,0x1f959
🥚,129370,0x1f95a
🥛,129371,0x1f95b
🥜,129372,0x1f95c
🥝,129373,0x1f95d
🥞,129374,0x1f95e
🥟,129375,0x1f95f
🥠,129376,0x1f960
🥡,129377,0x1f961
🥢,129378,0x1f962
🥣,129379,0x1f963
🥤,129380,0x1f964
🥥,129381,0x1f965
🥦,129382,0x1f966
🥧,129383,0x1f967
🥨,129384,0x1f968
🥩,129385,0x1f969
🥪,129386,0x1f96a
🥫,129387,0x1f96b

🦀,129408,0x1f980
🦁,129409,0x1f981
🦂,129410,0x1f982
🦃,129411,0x1f983
🦄,129412,0x1f984
🦅,129413,0x1f985
🦆,129414,0x1f986
🦇,129415,0x1f987
🦈,129416,0x1f988
🦉,129417,0x1f989
🦊,129418,0x1f98a
🦋,129419,0x1f98b
🦌,129420,0x1f98c
🦍,129421,0x1f98d
🦎,129422,0x1f98e
🦏,129423,0x1f98f
🦐,129424,0x1f990
🦑,129425,0x1f991
🦒,129426,0x1f992
🦓,129427,0x1f993
🦔,129428,0x1f994
🦕,129429,0x1f995
🦖,129430,0x1f996
🦗,129431,0x1f997

🧀,129472,0x1f9c0

🧐,129488,0x1f9d0
🧑,129489,0x1f9d1
🧒,129490,0x1f9d2
🧓,129491,0x1f9d3
🧔,129492,0x1f9d4
🧕,129493,0x1f9d5
🧖,129494,0x1f9d6
🧗,129495,0x1f9d7
🧘,129496,0x1f9d8
🧙,129497,0x1f9d9
🧚,129498,0x1f9da
🧛,129499,0x1f9db
🧜,129500,0x1f9dc
🧝,129501,0x1f9dd
🧞,129502,0x1f9de
🧟,129503,0x1f9df
🧠,129504,0x1f9e0
🧡,129505,0x1f9e1
🧢,129506,0x1f9e2
🧣,129507,0x1f9e3
🧤,129508,0x1f9e4
🧥,129509,0x1f9e5
🧦,129510,0x1f9e6
