emoji,int,hex
🃦,127206,0x1f0e6
🃧,127207,0x1f0e7
🃨,127208,0x1f0e8
🃩,127209,0x1f0e9
🃪,127210,0x1f0ea
🃫,127211,0x1f0eb
🃬,127212,0x1f0ec
🃭,127213,0x1f0ed
🃮,127214,0x1f0ee
🃯,127215,0x1f0ef
🃰,127216,0x1f0f0
🃱,127217,0x1f0f1
🃲,127218,0x1f0f2
🃳,127219,0x1f0f3
🃴,127220,0x1f0f4
🃵,127221,0x1f0f5
🃶,127222,0x1f0f6
🃷,127223,0x1f0f7
🃸,127224,0x1f0f8
🃹,127225,0x1f0f9
🃺,127226,0x1f0fa
🃻,127227,0x1f0fb
🃼,127228,0x1f0fc
🃽,127229,0x1f0fd
🃾,127230,0x1f0fe
🃿,127231,0x1f0ff
🄀,127232,0x1f100
🄁,127233,0x1f101
🄂,127234,0x1f102
🄃,127235,0x1f103
🄄,127236,0x1f104
🄅,127237,0x1f105
🄆,127238,0x1f106
🄇,127239,0x1f107
🄈,127240,0x1f108
🄉,127241,0x1f109
🄊,127242,0x1f10a
🄋,127243,0x1f10b
🄌,127244,0x1f10c
🄍,127245,0x1f10d
🄎,127246,0x1f10e
🄏,127247,0x1f10f
🄐,127248,0x1f110
🄑,127249,0x1f111
🄒,127250,0x1f112
🄓,127251,0x1f113
🄔,127252,0x1f114
🄕,127253,0x1f115
🄖,127254,0x1f116
🄗,127255,0x1f117
🄘,127256,0x1f118
🄙,127257,0x1f119
🄚,127258,0x1f11a
🄛,127259,0x1f11b
🄜,127260,0x1f11c
🄝,127261,0x1f11d
🄞,127262,0x1f11e
🄟,127263,0x1f11f
🄠,127264,0x1f120
🄡,127265,0x1f121
🄢,127266,0x1f122
🄣,127267,0x1f123
🄤,127268,0x1f124
🄥,127269,0x1f125
🄦,127270,0x1f126
🄧,127271,0x1f127
🄨,127272,0x1f128
🄩,127273,0x1f129
🄪,127274,0x1f12a
🄫,127275,0x1f12b
🄬,127276,0x1f12c
🄭,127277,0x1f12d
🄮,127278,0x1f12e
🄯,127279,0x1f12f
🄰,127280,0x1f130
🄱,127281,0x1f131
🄲,127282,0x1f132
🄳,127283,0x1f133
🄴,127284,0x1f134
🄵,127285,0x1f135
🄶,127286,0x1f136
🄷,127287,0x1f137
🄸,127288,0x1f138
🄹,127289,0x1f139
🄺,127290,0x1f13a
🄻,127291,0x1f13b
🄼,127292,0x1f13c
🄽,127293,0x1f13d
🄾,127294,0x1f13e
🄿,127295,0x1f13f
🅀,127296,0x1f140
🅁,127297,0x1f141
🅂,127298,0x1f142
🅃,127299,0x1f143
🅄,127300,0x1f144
🅅,127301,0x1f145
🅆,127302,0x1f146
🅇,127303,0x1f147
🅈,127304,0x1f148
🅉,127305,0x1f149
🅊,127306,0x1f14a
🅋,127307,0x1f14b
🅌,127308,0x1f14c
🅍,127309,0x1f14d
🅎,127310,0x1f14e
🅏,127311,0x1f14f
🅐,127312,0x1f150
🅑,127313,0x1f151
🅒,127314,0x1f152
🅓,127315,0x1f153
🅔,127316,0x1f154
🅕,127317,0x1f155
🅖,127318,0x1f156
🅗,127319,0x1f157
🅘,127320,0x1f158
🅙,127321,0x1f159
🅚,127322,0x1f15a
🅛,127323,0x1f15b
🅜,127324,0x1f15c
🅝,127325,0x1f15d
🅞,127326,0x1f15e
🅟,127327,0x1f15f
🅠,127328,0x1f160
🅡,127329,0x1f161
🅢,127330,0x1f162
🅣,127331,0x1f163
🅤,127332,0x1f164
🅥,127333,0x1f165
🅦,127334,0x1f166
🅧,127335,0x1f167
🅨,127336,0x1f168
🅩,127337,0x1f169
🅪,127338,0x1f16a
🅫,127339,0x1f16b
🅬,127340,0x1f16c
🅭,127341,0x1f16d
🅮,127342,0x1f16e
🅯,127343,0x1f16f
🅰,127344,0x1f170
🅱,127345,0x1f171
🅲,127346,0x1f172
🅳,127347,0x1f173
